country,name,title,rating,picture
Cuba, Yasser Quesada Perez, Grandmaster, 2568, http://en.granma.cu/file/img/2018/07/medium/f0022691.jpg
Turkey, Mustafa Yilmaz, Grandmaster, 2634, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Mustafa_Yilmaz_2012.jpg/1200px-Mustafa_Yilmaz_2012.jpg
Peru, Jorge Cori, Grandmaster, 2654, https://upload.wikimedia.org/wikipedia/commons/6/6e/Jorge-Cori-Olot-2016.jpg
Sweden, Nils Grandelius, Grandmaster, 2655, https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/2021-Nils-Grandelius.JPG/1200px-2021-Nils-Grandelius.JPG
Brazil, Luis Paulo Supi, Grandmaster, 2603, https://images.chesscomfiles.com/uploads/v1/master_player/9e27d1a4-a16c-11eb-baa3-51d30658b34f.589416f3.5000x5000o.9f2b6376e456.jpeg
Slovenia, Luka Lenic, Grandmaster, 2633, https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Luka_Leni%C4%8D.jpg/440px-Luka_Leni%C4%8D.jpg
Slovakia, Jergus Pechac, Grandmaster, 2594, https://www.imago-images.com/bild/sp/0040590923/s.jpg
Kazakhstan, Rinat Jumabayev, Grandmaster, 2617, http://upload.wikimedia.org/wikipedia/commons/4/40/Zumabajew_rinat_20081120_olympiade_dresden.jpg
Australia, Anton Smirnov, Grandmaster, 2600, https://upload.wikimedia.org/wikipedia/commons/6/61/TataSteelChess2020-1_%28cropped%29.jpg
Austria, Markus Ragger, Grandmaster, 2647, https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Ragger%2CMarkus_2016_Karlsruhe.jpeg/640px-Ragger%2CMarkus_2016_Karlsruhe.jpeg
Iceland,  Hjorvar Steinn Gretarsson, Grandmaster, 2563, https://upload.wikimedia.org/wikipedia/commons/3/39/HSGretarsson13a.jpg
Belgium, Mikhail Gurevich, Grandmaster, 2580, https://upload.wikimedia.org/wikipedia/commons/b/b7/Gurewitsch_michail_20081120_olympiade_dresden.jpg
Lithuania, Tomas 	Laurusas, Grandmaster, 2561, https://upload.wikimedia.org/wikipedia/commons/b/b7/Tomas_Lauru%C5%A1as_2019_07_23_Klaip%C4%97da.jpg
Belarus, Sergei Azarov, Grandmaster, 2566, http://www.mdchess.com/images/Azarov.jpg
Vietnam, Quang Liem Le, Grandmaster, 2722, https://upload.wikimedia.org/wikipedia/commons/a/aa/LQLiem11.jpg
Canada, Evgeny Bareev, Grandmaster, 2631, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Jewgeni-Barejew.jpg/640px-Jewgeni-Barejew.jpg
Bosnia and Herz., Borki Predojevic, Grandmaster, 2584, https://upload.wikimedia.org/wikipedia/commons/a/ab/Borki_Predojevic.jpg
Colombia, Jaime Alexander Cuartas, Grandmaster, 2513, https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Cuartas_Jaime_Alexander_Barcelona_2010.jpg/610px-Cuartas_Jaime_Alexander_Barcelona_2010.jpg
Egypt, Bassem Amin, Grandmaster, 2680, https://upload.wikimedia.org/wikipedia/commons/1/13/Bassem_Amin_at_the_2013_Chess_World_Cup.png
Mongolia, Dambasuren Batsuren, Grandmaster, 2518, https://app.fide.com/upload/16239/4efdd2f969559e8b1c92e99f32ded48e.jpg
Finland, Tomi 	Nyback, Grandmaster, 2566, https://upload.wikimedia.org/wikipedia/commons/a/a1/TomiNyback.jpg
Montenegro, Denis Kadric, Grandmaster, 2554, https://www.chessabc.com/uploads/img/player/kadric-denis.jpg
Moldova, Viorel Iordachescu, Grandmaster, 2585, https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Iordachescu_Viorel.jpg/220px-Iordachescu_Viorel.jpg
Macedonia, Kiril Georgiev, Grandmaster, 2532, https://upload.wikimedia.org/wikipedia/commons/c/c9/KirilGeorgiev.jpg?w=144
Chile, Cristobal 	Henriquez Villagra, Grandmaster, 2620, https://players.chessbase.com/picture/hen00012
Philippines, Oliver Barbosa, Grandmaster, 2510, https://www.chessdom.com/wp-content/uploads/2011/09/Oliver-Barbosa.jpg
Latvia, Arturs Neiksans, Grandmaster, 2594, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Arturs_Neiksans_2012.jpg/220px-Arturs_Neiksans_2012.jpg
Indonesia, Susanto Megaranto, Grandmaster, 2529, https://imgsrv2.voi.id/HM5OEHKqJqnuKz1f_DzKT6400oiGAl1JjrNp5Wj7rOk/auto/1200/675/sm/1/bG9jYWw6Ly8vcHVibGlzaGVycy82NzU3Mi8yMDIxMDcxNjA3MjgtbWFpbi5jcm9wcGVkXzE2MjYzOTUzMTAuanBn.jpg
Mexico, Gilberto 	Hernandez Guerrero, Grandmaster, 2560, https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/HernandezGuerrero_Gilberto.jpg/1200px-HernandezGuerrero_Gilberto.jpg
Estonia, Kaido Kulaots, Grandmaster, 2543, https://www.chessgames.com/f/19909.jpg
Paraguay, Neuris Delgado Ramirez, Grandmaster, 2614, https://upload.wikimedia.org/wikipedia/commons/f/ff/Neuris_Delgado.jpg
Portugal, Jorge Viterbo Ferreira, Grandmaster, 2499, https://www.chessgames.com/f/128818.jpg
Uruguay, Georg Meier, Grandmaster, 2613, https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Georg_Meier_2013.jpg/1200px-Georg_Meier_2013.jpg
Ireland, Sam E. Collins, International Master, 2459, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/SamCollins17.jpg/1200px-SamCollins17.jpg
Scotland, Jacob Aagaard, Grandmaster, 2474, https://cbin.b-cdn.net/img/AA/Aagaard01_jpg_M5DA7_360x445.jpeg
Venezuela, Jose Rafael 	Gascon Del Nogal, Grandmaster, 2449, https://yt3.ggpht.com/ytc/AKedOLRZsn94ejhmTyhYOV13UxXCNN3a-b4mZXUPrH_NNw=s900-c-k-c0x00ffffff-no-rj
Bangladesh, Ziaur Rahman, Grandmaster, 2424, https://www.chessdom.com/wp-content/uploads/2014/10/GM-Rahman-Ziaur.jpg
Albania, Erald Dervishi, Grandmaster, 2526, https://players.chessbase.com/picture/der26614
Morocco, Hicham Hamdouchi, Grandmaster, 2536, https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Hicham_Hamdouchi_2009.jpg/360px-Hicham_Hamdouchi_2009.jpg
Faroe Islands, Helgi Dam Ziska, Grandmaster, 2549, https://upload.wikimedia.org/wikipedia/commons/b/bb/Helgi_Dam_Ziska.jpg
Singapore, Jingyao Tin, International Master, 2552, https://www.chessdom.com/wp-content/uploads/2022/05/Tin-Jingyao.jpg
New Zealand, Puchen Wang, International Master, 2455, http://www.newzealandchess.co.nz/images/archives/kratz-opening-move-225-2011-12.jpg
Algeria, Bilel 	Bellahcene, Grandmaster, 2514, https://www.aps.dz/en/media/k2/items/cache/bbbaa6c9c7f77becbc199e9813001080_M.jpg
Zambia, Gillan Bwalya, International Master, 2396, https://www.thezimbabwean.co/wp-content/uploads/2021/01/Gillian-Bwalya.png
Tunisia, Kamel Njili, International Master, 2406, https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Njili_kamel_20081120_olympiade_dresden.jpg/640px-Njili_kamel_20081120_olympiade_dresden.jpg
Kyrgyzstan, Melis Mamatov, FIDE Master, 2399, https://players.chessbase.com/picture/mam00005
Kosovo, Nderim Saraci, International Master, 2495, https://pbs.twimg.com/media/CrkTouvWgAAwLOf.jpg:large
Costa Rica, Leonardo Valdes Romero, International Master, 2400, https://players.chessbase.com/picture/val22590
Andorra, Lance 	Henderson de La Fuente, Grandmaster, 2490, https://players.chessbase.com/picture/hen00015
Ecuador, Carlos S. 	Matamoros Franco, Grandmaster, 2459, https://players.chessbase.com/picture/mat15261
Iraq, Araz Basim Mohammed S Al-Saffar, International Master, 2390, https://loop.frontiersin.org/images/profile/514345/203
Nigeria, Adegboyega Adebayo, FIDE Master, 2313, https://i0.wp.com/africachessmedia.com/wp-content/uploads/2020/07/images-10_1593307102271-1.jpeg?fit=455%2C480&ssl=1
South Africa, Daniel Cawdery, International Master, 2417, https://players.chessbase.com/picture/caw27018
Luxembourg, Michael 	Wiedenkeller, International Master, 2437, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/MichaelWiedenkeller12.jpg/640px-MichaelWiedenkeller12.jpg
Dominican Rep., Joe Lisandro 	Munoz Santana, International Master, 2423, https://www.chessgames.com/f/89127.jpg
Tajikistan, Farrukh 	Amonatov, Grandmaster, 2620, https://assets.thehansindia.com/hansindia-bucket/1292_Farrukh_Amonatov.jpg
Malaysia, Li Tian Yeoh, International Master, 2530, https://apicms.thestar.com.my/uploads/images/2019/12/04/418346.jpg
Monaco, Igor Berezovsky, International Master, 2389, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3lln-XfpMCR24BgxGJGnD685mFGeuqXzPIg&usqp=CAU
Bolivia, Osvaldo Zambrana, Grandmaster, 2417, https://www.chessgames.com/f/51311.jpg
Syria, Satea Husari, International Master, 2342, https://players.chessbase.com/picture/Hus23440
United Arab Emirates, A.R. Saleh Salem, Grandmaster, 2684, https://www.chessdom.com/wp-content/uploads/2015/06/G5K58-nbKEiZox3EBCRtje3Dw-hN9CKOxtOQ9cHm-ig.jpg
Japan, Thanh Tu Tran, Candidates Master, 2375, https://upload.wikimedia.org/wikipedia/vi/thumb/9/9b/Tr%E1%BA%A7n_Thanh_T%C3%BA_t%E1%BA%A1i_gi%E1%BA%A3i_V%C3%B4_%C4%91%E1%BB%8Bch_Nh%E1%BA%ADt_B%E1%BA%A3n_2016.jpg/800px-Tr%E1%BA%A7n_Thanh_T%C3%BA_t%E1%BA%A1i_gi%E1%BA%A3i_V%C3%B4_%C4%91%E1%BB%8Bch_Nh%E1%BA%ADt_B%E1%BA%A3n_2016.jpg
Panama, Roberto Carlos 	Sanchez Alvarez, International Master, 2431, https://www.chessgames.com/f/159744.jpg
Angola, David Silva, International Master, 2315, https://images.chesscomfiles.com/uploads/v1/blog/270460.acfa0acd.5000x5000o.379bbbf87a91.jpeg
Nicaragua, Rene Lacayo, FIDE Master, 2272, http://www.olimpbase.org/photo/Chess%20Faces/2006%20-%20Foto%20Scacchisti%20Torino/Men%20(alphabetic)/Lacayo%20Rene%20(NCA).JPG
Uganda, Arthur 	Ssegwanyi, International Master, 2392, https://i0.wp.com/kawowo.com/wp-content/uploads/2017/10/arthur-ssegwanyi-chess.jpg?resize=780%2C520&ssl=1
South Korea, Alexey Kim, Grandmaster, 2465, https://players.chessbase.com/picture/kim30964
Jordan, Sami Khader, International Master, 2365, https://players.chessbase.com/picture/kha00012
Pakistan, Mahmood Lodhi, International Master, 2274, https://www.chessgames.com/f/13901.jpg
Lebanon, Amro El Jawich, FIDE Master, 2314, https://www.chessdom.com/wp-content/uploads/2022/05/El-Jawich-Amro.jpg
Zimbabwe, Farai Mandizha, International Master, 2359, https://i0.wp.com/africachessmedia.com/wp-content/uploads/2018/02/kotov-rnd-8.jpg?resize=640%2C355&ssl=1
El Salvador, Jorge Ernesto Giron, International Master, 2288, http://www.olimpbase.org/photo/Teams/chessplayersphoto/Giron_Jorge_Ernesto.jpg
Guatemala, Carlos A. Juarez Flores, International Master, 2335, https://players.chessbase.com/picture/Jua22951
Sri Lanka, Ranindu Dilshan Liyanage, FIDE Master, 2286, http://island.lk/wp-content/uploads/2021/07/REEMUS.jpg
Trinidad and Tobago, Alan-Safar Ramoutar, International Master, 2453, https://newsday.co.tt/wp-content/uploads/2022/04/18977611.jpg
Puerto Rico, Santiago Velasco, FIDE Master, 2319, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Velasco_santiago_20081119_olympiade_dresden.jpg/640px-Velasco_santiago_20081119_olympiade_dresden.jpg
Honduras, Nahun Gavarrete, FIDE Master, 2351, https://pbs.twimg.com/media/EBnl2WlXoAAeGZi.jpg:large
Thailand, Thanadon	Kulpruethanon, FIDE Master, 2294, https://image.lichess1.org/display?h=350&op=thumbnail&path=bank2010:coach:bank2010:9kh8W681.jpg&w=350&sig=c23cc94f3e85afea5563893a21be8bfd220f24d0
Sudan, Abubaker Tagelsir, FIDE Master, 2232, https://image.lichess1.org/display?h=350&op=thumbnail&path=abubakertagelsir:coach:abubakertagelsir:nr7xAnYw.jpg&w=350&sig=8d1097492075243b007d799f87911e36178dc333
Madagascar, Fy Antenaina Rakotomaharo, International Master, 2490, https://i0.wp.com/africachessmedia.com/wp-content/uploads/2020/06/IMG_0194-2-scaled.jpg?fit=2262%2C2560&ssl=1
Libya, Abobker Mohamed Elarabi, FIDE Master, 2283, https://africachessmedia.com/wp-content/uploads/2021/07/51307039363_cd76657f9c_o-1024x683.jpg
Malta, Timothy Mifsud, Candidates Master, 2198, https://cdn-attachments.timesofmalta.com/cbb40225a31ca82cb63a754a09e6566b0c30d1d9-1656944732-f8e9bf31-1920x1280.jpg
Cyprus, Konstantinos 	Michaelides, FIDE Master, 2300, https://www.chesslife.com.au/wp-content/uploads/2016/09/P9020821-300x225.jpg
Ethiopia,  Aydagnuhem Gezachew Abera, Candidates Master, 2137, https://africanchessconfederation.com/wp-content/uploads/2022/05/Fekadu.jpeg
Botswana, Providence 	Oatlhotse, International Master, 2204, https://image.lichess1.org/display?h=350&op=thumbnail&path=letapa_lepako:coach:letapa_lepako:jEbGOmbh.jpg&w=350&sig=bbcf5ff3fee17d76d490da19accf126b32063058
Turkmenistan, Meylis 	Annaberdiyev, Grandmaster, 2484, https://foto.sondakika.com/haber/2013/07/04/akdeniz-in-satranccilari-basariya-kosuyor-2-4797793_osd.jpg
Nepal, Bibek Thing, Candidates Master, 2260, https://i.ytimg.com/vi/lO-_iuLvajc/maxresdefault.jpg
Jamaica, Joshua Christie, FIDE Master, 2272, https://www.caribbeannationalweekly.com/wp-content/uploads/2022/04/Joshua-Christie.jpg
Malawi, Joseph Mwale, FIDE Master, 2131, https://times.mw/wp-content/uploads/2021/06/joseph-mwale.jpg
Barbados, Orlando Husbands, International Master, 2353, https://players.chessbase.com/picture/hus00002
Afghanistan, S.wahabuddin Mirzaad, FIDE Master, 2054, https://images.chesscomfiles.com/uploads/v1/user/5098783.0572022d.160x160o.6c59f1dbd7d0.jpeg
Myanmar, Zaw Htun Wynn, International Master, 2480, https://pbs.twimg.com/media/CJNY3FkUcAApIol.jpg
Guyana, Taffin Khan, Candidates Master, 2019, https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/TKJNC_%28cropped%29.jpg/220px-TKJNC_%28cropped%29.jpg
Ghana, John Kojo Hasford, FIDE Master, 1976, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Hasford_john_kojo_20081119_olympiade_dresden.jpg/800px-Hasford_john_kojo_20081119_olympiade_dresden.jpg
Namibia, Dante M Beukes, International Master, 2234, https://i0.wp.com/africachessmedia.com/wp-content/uploads/2018/05/WhatsApp-Image-2018-04-10-at-05.41.13.jpeg?fit=372%2C408&ssl=1
